# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
Jan-88,34589.63,34589.63,34589.98,35029.41
Feb-88,41382.75,41382.75,41383.3,42157.6
Mar-88,-10013.61,-10013.61,-10014.21,-10576.8
Apr-88,37240.24,37240.24,36695.8,35245.07
May-88,24289.07,24289.07,24289.25,23044.3
Jun-88,-13074.06,-13074.06,-13074.13,-14296.28
Jul-88,17386.17,17386.17,17386.04,17302.99
Aug-88,40091.46,40091.46,40091.98,40248.58
Sep-88,28523.31,28523.31,28523.5,28483.12
Oct-88,61404.65,61404.65,61404.7,61329.25
Nov-88,5659.25,5659.25,5659.26,5535.08
Dec-88,25712.14,25712.14,25712.57,25606.37
Jan-89,41029.40,41029.4,41029.06,40790.03
Feb-89,64387.20,64387.2,64387.23,64390.52
Mar-89,-22568.81,-22568.81,-22568.25,-22446.55
Apr-89,27131.12,27131.12,27131.2,27584.28
May-89,-51540.44,-51540.44,-51539.93,-49919.5
Jun-89,-7164.53,-7164.53,-7940.59,-6949.84
Jul-89,95354.63,95354.63,92248.09,92444.21
Aug-89,43632.45,43632.45,43632.48,43284.66
Sep-89,54847.20,54847.2,56555.7,55373.92
Oct-89,28699.88,28699.87,26991.54,27261.83
Nov-89,-27309.03,-27309.03,-27308.77,-27265.3
Dec-89,27032.48,27032.48,27032.42,26148.03
Jan-90,51358.36,51358.36,55241.63,53944.88
Feb-90,20133.98,20133.98,20133.61,19503.05
Mar-90,8191.32,8191.32,4308.43,5784.34
Apr-90,7894.66,7894.66,7895.08,9569.34
May-90,-35149.13,-35149.13,-35149.48,-33368.77
Jun-90,18133.39,18133.39,18133.93,18928.14
Jul-90,31506.82,31506.82,31507.1,32573.73
Aug-90,48113.55,48113.55,48113.56,48044.28
Sep-90,114477.45,114477.45,114477.67,113523.35
Oct-90,-11152.00,-11152,-11151.79,-10817.19
Nov-90,-7470.30,-7470.3,-7470.69,-7527.72
Dec-90,13395.88,13395.88,13396.59,13529.77
Jan-91,28720.79,28720.79,28720.53,27777.45
Feb-91,53071.79,53071.79,53071.76,52557.41
Mar-91,58915.06,58915.06,58915.23,59129.1
Apr-91,25110.83,25110.83,25111.12,25673.76
May-91,6796.80,6796.8,6796.16,7493.13
Jun-91,70268.58,70268.58,70269.16,70656.97
Jul-91,10241.80,10241.8,10241.71,10683.53
Aug-91,68259.56,68259.56,68259.73,67931.26
Sep-91,61273.34,61273.34,61273.66,60691.73
Oct-91,2033.30,2033.3,2033.53,2723.4
Nov-91,11436.74,11436.74,11436.82,10912.54
Dec-91,48786.05,48786.05,48785.77,47108.55
Jan-92,65766.20,65766.2,65766.21,63321.5
Feb-92,90372.58,90372.58,90372.76,89103.18
Mar-92,107657.54,107657.54,107657.11,106999.21
Apr-92,54524.49,54524.49,54524.97,54578.24
